Name_en,Title_en,Name_ko,Title_ko,Name_zh,Title_zh,Name_ja,Title_ja,Name_es,Title_es
Ignis of Execution,First Strike,집행의 불꽃,첫 번째 타격,执行之火,第一击,執行の焔,先制攻撃,Fuego de Ejecución,Primer Golpe
Embers of Social Warmth,Networking Spark,사교의 온기,인맥의 불꽃,社交温情之烬,社交火花,社交の温もりの残り火,交流の火種,Brasas de Calor Social,Chispa de Networking
Flicker of Daily Focus,Brief Intensity,일상 집중의 흔들림,짧은 강렬함,일상专注지점 (日常专注之光),短促强度,日常集中の揺らぎ,短き強烈さ,Destello de Enfoque Diario,Intensidad Breve
Blaze of Trendsetting,Viral Ignition,유행 선도의 화염,확산의 점화,领潮之焰,病毒式点燃,流行先導の炎,拡散の着火,Llama de Tendencias,Ignición Viral
Scarlet Decision Stone,Iron Will,진홍빛 결단석,강철의 의지,绯红决断石,钢铁意志,深紅の決断石,鋼の意志,Piedra de Decisión Escarlata,Voluntad de Hierro
Heat of Peak Vigor,Stamina Surge,정점 활력의 열기,지구력의 파동,巅峰活力之热,耐力飙升,頂点の活熱,スタミナサージ,Calor de Vigor Máximo,Oleada de Estamina
Pyre of Persuasion,Orator’s Soul,설득의 장작,웅변가의 혼,说服之火,演说家之魂,説得の火葬,弁論家の魂,Pira de Persuasión,Alma de Orador
Lava-Glass of Ambition,Visionary Flare,야망의 용암유리,선견지명의 섬광,野心熔岩玻璃,远见闪光,野望の溶岩ガラス,先見の閃光,Vidrio de Lava de Ambición,Destello Visionario
Volcano of Creativity,Idea Eruption,창의의 화산,아이디어의 분출,创意火山,灵感爆发,創造の火山,アイデアの噴火,Volcán de Creatividad,Erupción de Ideas
Inferno of Executive Power,Absolute Command,집행권의 인페르노,절대 명령,执行权之火狱,绝对指令,執行権の烈火,絶対命令,Infierno de Poder Ejecutivo,Mando Absoluto
Sunlight of Market Dominance,Monopoly Heat,시장 지배의 태양광,독점의 열기,市场支配之光,垄断之热,市場支配の陽光,独占の熱気,Luz de Dominio de Mercado,Calor de Monopolio
Phoenix Heart of Rebirth,Infinite Resurgence,재탄생의 불사조 심장,무한한 부활,重生凤凰之心,无限复苏,再生の不死鳥の心臓,無限の復活,Corazón de Fénix de Renacimiento,Resurgimiento Infinito
Primeval Nova Core,Reality Ignition,태고의 신성 핵,현실 점화,太古新星核,现实点燃,太古の新星の核,現実点火,Núcleo de Nova Primordial,Ignición de Realidad
Dewdrop of Calm,Anxiety Wash,평온의 이슬,불안의 세척,宁静露珠,洗涤焦虑,平穏の露,不安の洗浄,Gota de Calma,Lavado de Ansiedad
Mist of Subtle Favor,Fluid Charm,은은한 호의의 안개,유연한 매력,柔情之雾,柔化魅力,仄かな好意の霧,しなやかな魅力,Niebla de Favor Sutil,Encanto Fluido
Ripple of Intuition,Gut Feeling,직관의 파동,본능적 감각,直觉波动,本能直觉,直感の波動,本能の直感,Ondulación de Intuición,Corazonada
Stream of Eloquence,Silver Tongue,웅변의 흐름,유려한 말솜씨,雄辩之流,伶牙俐齿,雄弁の流れ,立て板に水,Corriente de Elocuencia,Lengua de Plata
Aquamarine Clarity,Logic Filter,청람빛 명료함,논리 필터,澄澈青晶,逻辑过滤,澄み渡る青藍,論理フィルター,Claridad de Aguamarina,Filtro de Lógica
Rain of Productivity,Task Flow,생산성의 비,작업 흐름,生产力之雨,任务流转,生産性の雨,タスクフロー,Lluvia de Productividad,Flujo de Tareas
Glacier of Self-Control,Stoic Aegis,자제력의 빙하,스토아의 방패,自制力冰川,禁欲之盾,自制の氷河,ストア派の盾,Glaciar de Autocontrol,Egida Estoica
Tidal Shift Crystal,Trend Surfing,조수의 변화 수정,트렌드 서핑,潮汐转换水晶,趋势冲浪,潮流変化の晶石,トレンドサーフィン,Cristal de Cambio de Marea,Surf de Tendencias
Source of Vitality,Cellular Cleansing,생명력의 근원,세포 정화,活力源泉,细胞净化,活力の源,細胞の浄化,Fuente de Vitalidad,Limpieza Celular
Deep Sea of Secrets,Information Abyss,비밀의 심해,정보의 심연,秘密深海,信息深渊,秘密の深海,情報の深淵,Mar Profundo de Secretos,Abismo de Información
Vortex of Wealth Flow,Cash Magnet,부의 흐름 소용돌이,현금 마그넷,财富流涡旋,现金磁石,富の流転の渦,キャッシュマグネット,Vórtice de Flujo de Riqueza,Imán de Efectivo
Oceanic Consciousness,World Wisdom,대양의 의식,세상의 지혜,海洋意识,世界智慧,大洋の意識,世界の知恵,Conciencia Oceánica,Sabiduría del Mundo
Primordial Life Source,Eternal Youth,생체 시계 역행자,영원한 젊음,生物钟逆转者,永恒青春,生体時計の逆行者,永遠の若さ,Reversor del Reloj Biológico,Eterna Juventud
Pebble of Patience,Steady Step,인내의 조약돌,꾸준한 발걸음,毅力之卵石,稳健步伐,忍耐の小石,着実な一歩,Piedra de Paciencia,Paso Constante
Clay of Skill Absorption,Fast Learning,습득의 점토,쾌속 학습,吸收之粘土,极速学习,習得の粘土,快速学習,Arcilla de Absorción,Aprendizaje Rápido
Sand of Saving,Frugal Mind,저축의 모래,검소한 정신,储蓄之砂,勤俭之心,貯蓄の砂,節約精神,Arena de Ahorro,Mente Frugal
Quartz of Reliability,Solid Trust,신뢰의 석영,견고한 믿음,信任石英,坚实可靠,信頼の石英,堅実な信頼,Cuarzo de Fiabilidad,Confianza Sólida
Granite Professionalism,Unshakable Base,전문성의 화강암,흔들리지 않는 기반,职业操守花岗岩,不动根基,専門性の花崗岩,揺るぎない基盤,Granito de Profesionalismo,Base Inquebrantable
Root of Networking,Deep Connection,인맥의 뿌리,깊은 연결,人脉之根,深度联结,人脈の根,深い繋がり,Raíz de Networking,Conexión Profunda
Basalt of Physical Immunity,Iron Body,신체 면역의 현무암,강철 몸매,身体免疫玄武岩,钢铁躯体,身体免疫の玄武岩,鋼の肉体,Basalto de Inmunidad Física,Cuerpo de Hierro
Emerald of Land Luck,Real Estate Eye,기회의 지각석,부동산 거물,机会地壳石,地产大亨,機会の地殻石,不動産大物,Piedra de Oportunidad,Magnate Inmobiliario
Topaz of Generosity,Grateful Return,업보의 토양,증폭된 보답,因果之土,放大回报,業の土壌,増幅された報い,Suelo de Karma,Recompensa Amplificada
Heart of the Continent,Sovereign Wealth,절대 방어의 보루,불침의 자산,绝对防御堡垒,不沉资产,絶対防御の要塞,不沈の資産,Bastión de Defensa Absoluta,Activo Inquebrantable
Ironwood Contract,Absolute Bond,운명의 구속석,파기 불능의 서약,命运束缚石,不可撤销之誓,運命の束縛石,破棄不能の誓約,Piedra de Vínculo de Destino,Voto Irrevocable
Adamantine Foundation,Indestructible Life,다이아몬드 불멸성,불굴의 복원력,金刚不朽性,不屈弹性,金剛の不滅性,不屈の復元力,Inmortalidad de Diamante,Resiliencia Inquebrantable
Gaia’s Core Jewel,World Architect,창조주의 분광석,현실 재설계,创造者之分光石,现实重塑,創造主の分光石,現実の再設計,Prisma del Creador,Rediseño de Realidad
Feather of Light Travel,Commute Ease,항해의 산들바람,신호 가속기,航行之微风,信号加速,航海の微風,信号加速器,Brisa de Navegación,Acelerador de Señales
Zephyr of Inspiration,Idea Breeze,산들바람의 영감,창의적 벼락,灵感之微风,创意之霆,霊感の微風,創造の雷光,Brisa de Inspiración,Rayo Creativo
Whisper of Social Context,Atmosphere Reader,통찰의 바람,사교의 주역,洞察之风,社交主角,洞察の風,社交の主役,Viento de Perspicacia,Protagonista Social
Gale of Rapid Working,Windspeed Tasker,가속의 돌풍,삼배속의 위력,加速之狂风,三倍速之威,加速の疾風,三倍速の威力,Vendaval de Aceleración,Triple Velocidad
Aether Link of Language,Global Tongue,언어 습득의 미풍,어감의 달인,语言学习之轻风,语感大师,語学習得の微風,ニュアンスの達人,Céfiro de Aprendizaje,Maestro del Matiz
Draft of Market Agility,Pivot Master,전환의 바람,전략적 유연함,转型之风,战略灵活性,転換の風,戦略的柔軟性,Viento de Giro,Flexibilidad Estratégica
Cyclone of Viral Fame,Digital Tempest,확산의 태풍,무비용 홍보,传播之飓风,零成本营销,拡散の台風,宣伝費ゼロの伝播,Tifón de Viralidad,Mercadeo Sin Costo
Sky-Gate Opal,Logistics Overlord,무역풍의 효율,자원 통제자,贸易风之效能,资源掌控者,貿易風の効率,資源の統制者,Eficiencia Alisia,Controlador de Recursos
Echo of Reputational Bloom,Fragrant Name,명성의 미풍,신뢰받는 이름,名望之微风,可信之名,名声の微風,信頼される名,Brisa de Reputación,Nombre de Confianza
Eye of the Storm Sanctuary,Chaos Shield,폭풍의 눈,안전한 피난처,风暴之眼,安全避风港,台風の目,安全な避難所,Ojo de la Tormenta,Refugio Seguro
Whirlwind of Opportunity,Infinite Chance,기회의 바람,끊임없는 제안,机遇之风,源源不断的提议,好機の風,絶え間ない提案,Vientos de Oportunidad,Ofertas Perpetuas
Breath of the World Spirit,Omnipresent Mind,세계 맥동의 통찰,실시간 자각,世界脉动洞察,实时觉知,世界の脈動の洞察,リアルタイム自覚,Perspicacia del Pulso del Mundo,Conciencia en Tiempo Real
Infinite Gale of Freedom,Cosmic Traveler,창공의 자유,무한한 해방,苍穹之自由,无限解放,蒼穹の自由,無限の解放,Libertad del Firmamento,Liberación Infinita
Glow of Confidence,Aura Glow,첫인상의 광택,즉각적인 호감,初见之光泽,瞬间好感,初対面の光沢,即座の好感,Lustre de Primera Impresión,Favor Inmediato
